 # Density of states (DOS)
 # The ouput is normalized to    1.00000000000000     
 # Energy (eV),   DOS (1/eV)
  -3.00000000000000       4.020016216366016E-009
  -2.99949998437451       4.020422456357657E-009
  -2.99899996874902       4.020828764799950E-009
  -2.99849995312354       4.021235141709633E-009
  -2.99799993749805       4.021641587103454E-009
  -2.99749992187256       4.022048100998159E-009
  -2.99699990624707       4.022454683410507E-009
  -2.99649989062158       4.022861334357257E-009
  -2.99599987499609       4.023268053855175E-009
  -2.99549985937061       4.023674841921037E-009
  -2.99499984374512       4.024081698571616E-009
  -2.99449982811963       4.024488623823697E-009
  -2.99399981249414       4.024895617694069E-009
  -2.99349979686865       4.025302680199524E-009
  -2.99299978124316       4.025709811356863E-009
  -2.99249976561768       4.026117011182891E-009
  -2.99199974999219       4.026524279694417E-009
  -2.99149973436670       4.026931616908258E-009
  -2.99099971874121       4.027339022841237E-009
  -2.99049970311572       4.027746497510176E-009
  -2.98999968749023       4.028154040931911E-009
  -2.98949967186475       4.028561653123279E-009
  -2.98899965623926       4.028969334101126E-009
  -2.98849964061377       4.029377083882297E-009
  -2.98799962498828       4.029784902483646E-009
  -2.98749960936279       4.030192789922037E-009
  -2.98699959373730       4.030600746214330E-009
  -2.98649957811182       4.031008771377400E-009
  -2.98599956248633       4.031416865428122E-009
  -2.98549954686084       4.031825028383379E-009
  -2.98499953123535       4.032233260260057E-009
  -2.98449951560986       4.032641561075048E-009
  -2.98399949998437       4.033049930845252E-009
  -2.98349948435889       4.033458369587573E-009
  -2.98299946873340       4.033866877318921E-009
  -2.98249945310791       4.034275454056210E-009
  -2.98199943748242       4.034684099816361E-009
  -2.98149942185693       4.035092814616297E-009
  -2.98099940623144       4.035501598472956E-009
  -2.98049939060596       4.035910451403269E-009
  -2.97999937498047       4.036319373424181E-009
  -2.97949935935498       4.036728364552643E-009
  -2.97899934372949       4.037137424805604E-009
  -2.97849932810400       4.037546554200028E-009
  -2.97799931247851       4.037955752752876E-009
  -2.97749929685303       4.038365020481119E-009
  -2.97699928122754       4.038774357401734E-009
  -2.97649926560205       4.039183763531703E-009
  -2.97599924997656       4.039593238888012E-009
  -2.97549923435107       4.040002783487654E-009
  -2.97499921872559       4.040412397347627E-009
  -2.97449920310010       4.040822080484935E-009
  -2.97399918747461       4.041231832916589E-009
  -2.97349917184912       4.041641654659601E-009
  -2.97299915622363       4.042051545730993E-009
  -2.97249914059814       4.042461506147788E-009
  -2.97199912497266       4.042871535927024E-009
  -2.97149910934717       4.043281635085733E-009
  -2.97099909372168       4.043691803640959E-009
  -2.97049907809619       4.044102041609751E-009
  -2.96999906247070       4.044512349009163E-009
  -2.96949904684521       4.044922725856252E-009
  -2.96899903121973       4.045333172168088E-009
  -2.96849901559424       4.045743687961737E-009
  -2.96799899996875       4.046154273254279E-009
  -2.96749898434326       4.046564928062794E-009
  -2.96699896871777       4.046975652404368E-009
  -2.96649895309228       4.047386446296095E-009
  -2.96599893746680       4.047797309755077E-009
  -2.96549892184131       4.048208242798415E-009
  -2.96499890621582       4.048619245443219E-009
  -2.96449889059033       4.049030317706606E-009
  -2.96399887496484       4.049441459605696E-009
  -2.96349885933935       4.049852671157616E-009
  -2.96299884371387       4.050263952379498E-009
  -2.96249882808838       4.050675303288480E-009
  -2.96199881246289       4.051086723901708E-009
  -2.96149879683740       4.051498214236327E-009
  -2.96099878121191       4.051909774309495E-009
  -2.96049876558642       4.052321404138370E-009
  -2.95999874996094       4.052733103740123E-009
  -2.95949873433545       4.053144873131919E-009
  -2.95899871870996       4.053556712330941E-009
  -2.95849870308447       4.053968621354368E-009
  -2.95799868745898       4.054380600219394E-009
  -2.95749867183349       4.054792648943206E-009
  -2.95699865620801       4.055204767543010E-009
  -2.95649864058252       4.055616956036008E-009
  -2.95599862495703       4.056029214439414E-009
  -2.95549860933154       4.056441542770442E-009
  -2.95499859370605       4.056853941046317E-009
  -2.95449857808056       4.057266409284266E-009
  -2.95399856245508       4.057678947501523E-009
  -2.95349854682959       4.058091555715328E-009
  -2.95299853120410       4.058504233942926E-009
  -2.95249851557861       4.058916982201567E-009
  -2.95199849995312       4.059329800508509E-009
  -2.95149848432764       4.059742688881012E-009
  -2.95099846870215       4.060155647336347E-009
  -2.95049845307666       4.060568675891785E-009
  -2.94999843745117       4.060981774564607E-009
  -2.94949842182568       4.061394943372096E-009
  -2.94899840620019       4.061808182331542E-009
  -2.94849839057471       4.062221491460245E-009
  -2.94799837494922       4.062634870775504E-009
  -2.94749835932373       4.063048320294628E-009
  -2.94699834369824       4.063461840034930E-009
  -2.94649832807275       4.063875430013729E-009
  -2.94599831244726       4.064289090248348E-009
  -2.94549829682178       4.064702820756119E-009
  -2.94499828119629       4.065116621554379E-009
  -2.94449826557080       4.065530492660468E-009
  -2.94399824994531       4.065944434091735E-009
  -2.94349823431982       4.066358445865533E-009
  -2.94299821869433       4.066772527999220E-009
  -2.94249820306885       4.067186680510162E-009
  -2.94199818744336       4.067600903415729E-009
  -2.94149817181787       4.068015196733295E-009
  -2.94099815619238       4.068429560480245E-009
  -2.94049814056689       4.068843994673964E-009
  -2.93999812494140       4.069258499331849E-009
  -2.93949810931592       4.069673074471293E-009
  -2.93899809369043       4.070087720109706E-009
  -2.93849807806494       4.070502436264497E-009
  -2.93799806243945       4.070917222953082E-009
  -2.93749804681396       4.071332080192879E-009
  -2.93699803118847       4.071747008001325E-009
  -2.93649801556299       4.072162006395845E-009
  -2.93599799993750       4.072577075393880E-009
  -2.93549798431201       4.072992215012878E-009
  -2.93499796868652       4.073407425270285E-009
  -2.93449795306103       4.073822706183562E-009
  -2.93399793743554       4.074238057770169E-009
  -2.93349792181006       4.074653480047573E-009
  -2.93299790618457       4.075068973033248E-009
  -2.93249789055908       4.075484536744676E-009
  -2.93199787493359       4.075900171199340E-009
  -2.93149785930810       4.076315876414730E-009
  -2.93099784368261       4.076731652408343E-009
  -2.93049782805713       4.077147499197684E-009
  -2.92999781243164       4.077563416800260E-009
  -2.92949779680615       4.077979405233584E-009
  -2.92899778118066       4.078395464515176E-009
  -2.92849776555517       4.078811594662562E-009
  -2.92799774992969       4.079227795693275E-009
  -2.92749773430420       4.079644067624850E-009
  -2.92699771867871       4.080060410474829E-009
  -2.92649770305322       4.080476824260765E-009
  -2.92599768742773       4.080893309000209E-009
  -2.92549767180224       4.081309864710720E-009
  -2.92499765617676       4.081726491409869E-009
  -2.92449764055127       4.082143189115224E-009
  -2.92399762492578       4.082559957844364E-009
  -2.92349760930029       4.082976797614873E-009
  -2.92299759367480       4.083393708444340E-009
  -2.92249757804931       4.083810690350360E-009
  -2.92199756242383       4.084227743350533E-009
  -2.92149754679834       4.084644867462467E-009
  -2.92099753117285       4.085062062703775E-009
  -2.92049751554736       4.085479329092074E-009
  -2.91999749992187       4.085896666644989E-009
  -2.91949748429638       4.086314075380151E-009
  -2.91899746867090       4.086731555315192E-009
  -2.91849745304541       4.087149106467760E-009
  -2.91799743741992       4.087566728855497E-009
  -2.91749742179443       4.087984422496057E-009
  -2.91699740616894       4.088402187407104E-009
  -2.91649739054345       4.088820023606298E-009
  -2.91599737491797       4.089237931111310E-009
  -2.91549735929248       4.089655909939819E-009
  -2.91499734366699       4.090073960109508E-009
