 # Density of states (DOS)
 # The ouput is normalized to    1.0000000000000000     
 # Energy (eV),   DOS (1/eV)
  -10.000000000000000        1.4614252944146758E-009
  -9.9993749804681400        1.4615247997638319E-009
  -9.9987499609362782        1.4616243157329052E-009
  -9.9981249414044182        1.4617238423234671E-009
  -9.9974999218725582        1.4618233795370913E-009
  -9.9968749023406982        1.4619229273753508E-009
  -9.9962498828088364        1.4620224858398194E-009
  -9.9956248632769764        1.4621220549320720E-009
  -9.9949998437451164        1.4622216346536825E-009
  -9.9943748242132582        1.4623212250062249E-009
  -9.9937498046813964        1.4624208259912751E-009
  -9.9931247851495364        1.4625204376104081E-009
  -9.9924997656176764        1.4626200598651990E-009
  -9.9918747460858164        1.4627196927572239E-009
  -9.9912497265539546        1.4628193362880600E-009
  -9.9906247070220946        1.4629189904592823E-009
  -9.9899996874902346        1.4630186552724686E-009
  -9.9893746679583728        1.4631183307291951E-009
  -9.9887496484265128        1.4632180168310402E-009
  -9.9881246288946528        1.4633177135795809E-009
  -9.9874996093627928        1.4634174209763951E-009
  -9.9868745898309310        1.4635171390230612E-009
  -9.9862495702990710        1.4636168677211580E-009
  -9.9856245507672110        1.4637166070722653E-009
  -9.9849995312353510        1.4638163570779606E-009
  -9.9843745117034892        1.4639161177398242E-009
  -9.9837494921716310        1.4640158890594358E-009
  -9.9831244726397710        1.4641156710383758E-009
  -9.9824994531079110        1.4642154636782244E-009
  -9.9818744335760492        1.4643152669805627E-009
  -9.9812494140441892        1.4644150809469717E-009
  -9.9806243945123292        1.4645149055790312E-009
  -9.9799993749804674        1.4646147408783246E-009
  -9.9793743554486074        1.4647145868464334E-009
  -9.9787493359167474        1.4648144434849400E-009
  -9.9781243163848874        1.4649143107954262E-009
  -9.9774992968530256        1.4650141887794753E-009
  -9.9768742773211656        1.4651140774386711E-009
  -9.9762492577893056        1.4652139767745958E-009
  -9.9756242382574456        1.4653138867888339E-009
  -9.9749992187255838        1.4654138074829695E-009
  -9.9743741991937238        1.4655137388585869E-009
  -9.9737491796618656        1.4656136809172704E-009
  -9.9731241601300056        1.4657136336606050E-009
  -9.9724991405981438        1.4658135970901772E-009
  -9.9718741210662838        1.4659135712075711E-009
  -9.9712491015344238        1.4660135560143734E-009
  -9.9706240820025620        1.4661135515121694E-009
  -9.9699990624707020        1.4662135577025474E-009
  -9.9693740429388420        1.4663135745870921E-009
  -9.9687490234069820        1.4664136021673913E-009
  -9.9681240038751202        1.4665136404450331E-009
  -9.9674989843432602        1.4666136894216050E-009
  -9.9668739648114002        1.4667137490986953E-009
  -9.9662489452795402        1.4668138194778903E-009
  -9.9656239257476784        1.4669139005607816E-009
  -9.9649989062158184        1.4670139923489566E-009
  -9.9643738866839584        1.4671140948440041E-009
  -9.9637488671520984        1.4672142080475143E-009
  -9.9631238476202384        1.4673143319610769E-009
  -9.9624988280883784        1.4674144665862823E-009
  -9.9618738085565184        1.4675146119247203E-009
  -9.9612487890246566        1.4676147679779826E-009
  -9.9606237694927966        1.4677149347476603E-009
  -9.9599987499609366        1.4678151122353443E-009
  -9.9593737304290766        1.4679153004426260E-009
  -9.9587487108972148        1.4680154993710973E-009
  -9.9581236913653548        1.4681157090223521E-009
  -9.9574986718334948        1.4682159293979815E-009
  -9.9568736523016348        1.4683161604995786E-009
  -9.9562486327697730        1.4684164023287362E-009
  -9.9556236132379130        1.4685166548870494E-009
  -9.9549985937060530        1.4686169181761110E-009
  -9.9543735741741930        1.4687171921975149E-009
  -9.9537485546423312        1.4688174769528557E-009
  -9.9531235351104712        1.4689177724437282E-009
  -9.9524985155786130        1.4690180786717275E-009
  -9.9518734960467512        1.4691183956384498E-009
  -9.9512484765148912        1.4692187233454899E-009
  -9.9506234569830312        1.4693190617944436E-009
  -9.9499984374511712        1.4694194109869075E-009
  -9.9493734179193094        1.4695197709244783E-009
  -9.9487483983874494        1.4696201416087531E-009
