 # Density of states (DOS)
 # The ouput is normalized to    1.0000000000000000     
 # Energy (eV),   DOS (1/eV)
   0.0000000000000000        4.6493899146266195E-008
   3.1250976593018531E-004   4.6502099973350147E-008
   6.2501953186037062E-004   4.6510304401375378E-008
   9.3752929779055598E-004   4.6518512433090432E-008
   1.2500390637207412E-003   4.6526724071246795E-008
   1.5625488296509265E-003   4.6534939318599065E-008
   1.8750585955811120E-003   4.6543158177904579E-008
   2.1875683615112970E-003   4.6551380651923957E-008
   2.5000781274414825E-003   4.6559606743420709E-008
   2.8125878933716679E-003   4.6567836455161430E-008
   3.1250976593018530E-003   4.6576069789915549E-008
   3.4376074252320385E-003   4.6584306750455740E-008
   3.7501171911622239E-003   4.6592547339557599E-008
   4.0626269570924094E-003   4.6600791559999744E-008
   4.3751367230225940E-003   4.6609039414563858E-008
   4.6876464889527795E-003   4.6617290906034641E-008
   5.0001562548829650E-003   4.6625546037199865E-008
   5.3126660208131504E-003   4.6633804810850264E-008
   5.6251757867433359E-003   4.6642067229779743E-008
   5.9376855526735205E-003   4.6650333296785245E-008
   6.2501953186037060E-003   4.6658603014666683E-008
   6.5627050845338914E-003   4.6666876386227129E-008
   6.8752148504640769E-003   4.6675153414272669E-008
   7.1877246163942624E-003   4.6683434101612469E-008
   7.5002343823244479E-003   4.6691718451058843E-008
   7.8127441482546325E-003   4.6700006465427151E-008
   8.1252539141848188E-003   4.6708298147535709E-008
   8.4377636801150034E-003   4.6716593500206109E-008
   8.7502734460451880E-003   4.6724892526262935E-008
   9.0627832119753744E-003   4.6733195228533934E-008
   9.3752929779055590E-003   4.6741501609849930E-008
   9.6878027438357453E-003   4.6749811673044837E-008
   1.0000312509765930E-002   4.6758125420955705E-008
   1.0312822275696115E-002   4.6766442856422650E-008
   1.0625332041626301E-002   4.6774763982289048E-008
   1.0937841807556485E-002   4.6783088801401295E-008
   1.1250351573486672E-002   4.6791417316608808E-008
   1.1562861339416856E-002   4.6799749530764389E-008
   1.1875371105347041E-002   4.6808085446723795E-008
   1.2187880871277227E-002   4.6816425067346028E-008
   1.2500390637207412E-002   4.6824768395493179E-008
   1.2812900403137598E-002   4.6833115434030508E-008
   1.3125410169067783E-002   4.6841466185826428E-008
   1.3437919934997967E-002   4.6849820653752564E-008
   1.3750429700928154E-002   4.6858178840683700E-008
   1.4062939466858338E-002   4.6866540749497644E-008
   1.4375449232788525E-002   4.6874906383075565E-008
   1.4687958998718709E-002   4.6883275744301710E-008
   1.5000468764648896E-002   4.6891648836063600E-008
   1.5312978530579080E-002   4.6900025661251855E-008
   1.5625488296509265E-002   4.6908406222760317E-008
   1.5937998062439451E-002   4.6916790523486063E-008
   1.6250507828369638E-002   4.6925178566329341E-008
   1.6563017594299820E-002   4.6933570354193620E-008
   1.6875527360230007E-002   4.6941965889985574E-008
   1.7188037126160193E-002   4.6950365176615052E-008
   1.7500546892090376E-002   4.6958768216995173E-008
   1.7813056658020562E-002   4.6967175014042330E-008
   1.8125566423950749E-002   4.6975585570676021E-008
   1.8438076189880932E-002   4.6983999889819111E-008
   1.8750585955811118E-002   4.6992417974397618E-008
   1.9063095721741304E-002   4.7000839827340871E-008
   1.9375605487671491E-002   4.7009265451581384E-008
   1.9688115253601673E-002   4.7017694850054909E-008
   2.0000625019531860E-002   4.7026128025700616E-008
   2.0313134785462046E-002   4.7034564981460726E-008
   2.0625644551392229E-002   4.7043005720280844E-008
   2.0938154317322415E-002   4.7051450245109802E-008
   2.1250664083252602E-002   4.7059898558899788E-008
   2.1563173849182788E-002   4.7068350664606225E-008
   2.1875683615112971E-002   4.7076806565187806E-008
   2.2188193381043157E-002   4.7085266263606526E-008
   2.2500703146973344E-002   4.7093729762827696E-008
   2.2813212912903526E-002   4.7102197065819913E-008
   2.3125722678833713E-002   4.7110668175555067E-008
   2.3438232444763899E-002   4.7119143095008373E-008
   2.3750742210694082E-002   4.7127621827158350E-008
   2.4063251976624268E-002   4.7136104374986898E-008
   2.4375761742554455E-002   4.7144590741479140E-008
   2.4688271508484641E-002   4.7153080929623614E-008
   2.5000781274414824E-002   4.7161574942412125E-008
   2.5313291040345010E-002   4.7170072782839935E-008
   2.5625800806275197E-002   4.7178574453905493E-008
   2.5938310572205379E-002   4.7187079958610771E-008
   2.6250820338135566E-002   4.7195589299960902E-008
   2.6563330104065752E-002   4.7204102480964481E-008
   2.6875839869995935E-002   4.7212619504633485E-008
   2.7188349635926121E-002   4.7221140373983239E-008
   2.7500859401856308E-002   4.7229665092032455E-008
   2.7813369167786494E-002   4.7238193661803175E-008
   2.8125878933716677E-002   4.7246726086320901E-008
   2.8438388699646863E-002   4.7255262368614418E-008
   2.8750898465577050E-002   4.7263802511716025E-008
   2.9063408231507232E-002   4.7272346518661414E-008
   2.9375917997437419E-002   4.7280894392489482E-008
   2.9688427763367605E-002   4.7289446136242739E-008
   3.0000937529297791E-002   4.7298001752967068E-008
   3.0313447295227974E-002   4.7306561245711748E-008
   3.0625957061158161E-002   4.7315124617529447E-008
   3.0938466827088347E-002   4.7323691871476344E-008
   3.1250976593018530E-002   4.7332263010611997E-008
   3.1563486358948720E-002   4.7340838037999375E-008
   3.1875996124878903E-002   4.7349416956704996E-008
   3.2188505890809085E-002   4.7357999769798679E-008
   3.2501015656739275E-002   4.7366586480353784E-008
   3.2813525422669458E-002   4.7375177091447106E-008
   3.3126035188599641E-002   4.7383771606158978E-008
   3.3438544954529831E-002   4.7392370027573077E-008
   3.3751054720460014E-002   4.7400972358776620E-008
   3.4063564486390197E-002   4.7409578602860318E-008
   3.4376074252320386E-002   4.7418188762918276E-008
   3.4688584018250569E-002   4.7426802842048246E-008
   3.5001093784180752E-002   4.7435420843351387E-008
   3.5313603550110942E-002   4.7444042769932248E-008
   3.5626113316041125E-002   4.7452668624899022E-008
   3.5938623081971308E-002   4.7461298411363403E-008
   3.6251132847901497E-002   4.7469932132440522E-008
   3.6563642613831680E-002   4.7478569791249107E-008
   3.6876152379761863E-002   4.7487211390911414E-008
   3.7188662145692053E-002   4.7495856934553154E-008
   3.7501171911622236E-002   4.7504506425303576E-008
   3.7813681677552426E-002   4.7513159866295553E-008
   3.8126191443482609E-002   4.7521817260665494E-008
   3.8438701209412791E-002   4.7530478611553198E-008
   3.8751210975342981E-002   4.7539143922102224E-008
   3.9063720741273164E-002   4.7547813195459569E-008
   3.9376230507203347E-002   4.7556486434775853E-008
   3.9688740273133537E-002   4.7565163643205253E-008
   4.0001250039063720E-002   4.7573844823905510E-008
   4.0313759804993902E-002   4.7582529980037921E-008
   4.0626269570924092E-002   4.7591219114767445E-008
   4.0938779336854275E-002   4.7599912231262601E-008
   4.1251289102784458E-002   4.7608609332695474E-008
   4.1563798868714648E-002   4.7617310422241737E-008
   4.1876308634644831E-002   4.7626015503080701E-008
   4.2188818400575014E-002   4.7634724578395370E-008
   4.2501328166505203E-002   4.7643437651372183E-008
   4.2813837932435386E-002   4.7652154725201384E-008
   4.3126347698365576E-002   4.7660875803076790E-008
   4.3438857464295759E-002   4.7669600888195738E-008
   4.3751367230225942E-002   4.7678329983759385E-008
   4.4063876996156132E-002   4.7687063092972479E-008
   4.4376386762086314E-002   4.7695800219043278E-008
   4.4688896528016497E-002   4.7704541365183834E-008
   4.5001406293946687E-002   4.7713286534609871E-008
   4.5313916059876870E-002   4.7722035730540741E-008
   4.5626425825807053E-002   4.7730788956199431E-008
   4.5938935591737243E-002   4.7739546214812668E-008
   4.6251445357667426E-002   4.7748307509610828E-008
   4.6563955123597608E-002   4.7757072843828005E-008
   4.6876464889527798E-002   4.7765842220701907E-008
   4.7188974655457981E-002   4.7774615643474124E-008
   4.7501484421388164E-002   4.7783393115389672E-008
   4.7813994187318354E-002   4.7792174639697517E-008
   4.8126503953248537E-002   4.7800960219650181E-008
   4.8439013719178720E-002   4.7809749858504055E-008
   4.8751523485108909E-002   4.7818543559519190E-008
   4.9064033251039092E-002   4.7827341325959310E-008
   4.9376543016969282E-002   4.7836143161091957E-008
   4.9689052782899465E-002   4.7844949068188392E-008
   5.0001562548829648E-002   4.7853759050523582E-008
   5.0314072314759838E-002   4.7862573111376365E-008
   5.0626582080690020E-002   4.7871391254029146E-008
   5.0939091846620203E-002   4.7880213481768294E-008
   5.1251601612550393E-002   4.7889039797883856E-008
